model_code|version_name|spec_category|spec_key|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 7|Plus AWD|Khung gầm|Hệ thống treo - trước|Độc lập, MacPherson||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 304.7, 648.3, 318.4]|p13_b02|0.98
VF 7|Eco|Khung gầm|Hệ thống treo - sau|Thanh điều hướng đa điểm||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 318.4, 648.3, 331.5]|p13_b02|0.98
VF 7|Plus|Khung gầm|Hệ thống treo - sau|Thanh điều hướng đa điểm||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 318.4, 648.3, 331.5]|p13_b02|0.98
VF 7|Plus AWD|Khung gầm|Hệ thống treo - sau|Thanh điều hướng đa điểm||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 318.4, 648.3, 331.5]|p13_b02|0.98
VF 7|Eco|Đèn ngoại thất|Đèn chiếu sáng phía trước|LED||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 359.5, 648.3, 373.2]|p13_b02|0.98
VF 7|Plus|Đèn ngoại thất|Đèn chiếu sáng phía trước|LED||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 359.5, 648.3, 373.2]|p13_b02|0.98
VF 7|Plus AWD|Đèn ngoại thất|Đèn chiếu sáng phía trước|LED||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 359.5, 648.3, 373.2]|p13_b02|0.98
VF 7|Eco|Đèn ngoại thất|Tự động bật/tắt đèn|Có||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 373.2, 648.3, 386.9]|p13_b02|0.98
VF 7|Plus|Đèn ngoại thất|Tự động bật/tắt đèn|Có||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 373.2, 648.3, 386.9]|p13_b02|0.98
VF 7|Plus AWD|Đèn ngoại thất|Tự động bật/tắt đèn|Có||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 373.2, 648.3, 386.9]|p13_b02|0.98
VF 7|Eco|Đèn ngoại thất|Đèn chiếu sáng ban ngày|LED||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 386.9, 648.3, 401.2]|p13_b02|0.98
