model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 3|||battery|Pin & sạc|range_km|range_km|160000|km|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|8|[373.4, 238.1, 653.4, 267.9]|p08_b02|0.4
VF 3|||battery|Pin & sạc|Thời gian bảo hành dịch vụ thương mại|Thời gian bảo hành dịch vụ thương mại|3|năm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|8|[93.3, 297.6, 373.4, 327.4]|p08_b02|0.98
VF 3|||battery|Pin & sạc|range_km|range_km|100000|km|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|8|[373.4, 297.6, 653.4, 327.4]|p08_b02|0.4
VF 5|||dimension|Kích thước & trọng lượng|length_mm|length_mm|3967|mm|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 103.6, 348.5, 135.7]|p05_b02|0.98
VF 5|||dimension|Kích thước & trọng lượng|width_mm|width_mm|1723|mm|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 103.6, 348.5, 135.7]|p05_b02|0.98
VF 5|||dimension|Kích thước & trọng lượng|height_mm|height_mm|1579|mm|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 103.6, 348.5, 135.7]|p05_b02|0.98
VF 5|||dimension|Kích thước & trọng lượng|wheelbase_mm|wheelbase_mm|2514|mm|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 195.8, 358.6, 228.6]|p05_b02|0.98
VF 5|||dimension|Kích thước & trọng lượng|seats|seats|5|chỗ|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 195.8, 358.6, 228.6]|p05_b02|0.98
VF 5|||adas|Hỗ trợ lái nâng cao (ADAS)|Tính năng hỗ trợ lái|Tính năng hỗ trợ lái|6||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 284.5, 355.3, 314.9]|p05_b02|0.98
VF 5|||adas|Hỗ trợ lái nâng cao (ADAS)|Tính năng thông minh|Tính năng thông minh|21||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 284.5, 355.3, 314.9]|p05_b02|0.98
